"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"506",NA,"outuPARNullQAQCRpt","Outgoing PAR below water surface quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"507",NA,"outuPARNumPts","Number of points used to calculate the arithmetic mean of outgoing photosynthetically active radiation below water surface","number","integer","NA"
"508",NA,"outuPARPersistenceFailQM","Outgoing PAR below water surface quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent","real","NA"
"509",NA,"outuPARPersistenceNAQM","Outgoing PAR below water surface quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent","real","NA"
"510",NA,"outuPARPersistencePassQM","Outgoing PAR below water surface quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent","real","NA"
"511",NA,"outuPARPersistenceQAQCRpt","Outgoing PAR below water surface QAQC report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"512",NA,"outuPARRangeFailQM","Outgoing PAR below water surface quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent","real","NA"
"513",NA,"outuPARRangeNAQM","outgoing photosynthetically active radiation below water surface quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent","real","NA"
"514",NA,"outuPARRangePassQM","Outgoing PAR below water surface quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent","real","NA"
"515",NA,"outuPARRangeQAQCRpt","Outgoing PAR below water surface quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realisitc value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"516",NA,"outuPARSpikeFailQM","Outgoing PAR below water surface quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real","NA"
"517",NA,"outuPARSpikeNAQM","Outgoing PAR below water surface quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real","NA"
"518",NA,"outuPARSpikePassQM","Outgoing PAR below water surface quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real","NA"
"519",NA,"outuPARSpikeQAQCRpt","Outgoing PAR below water surface quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"520",NA,"outuPARStdErMean","Standard error of the mean for outgoing photosynthetically active radiation below water surface","micromolesPerSquareMeterPerSecond","real","NA"
"521",NA,"outuPARStepFailQM","Outgoing PAR below water surface quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent","real","NA"
"522",NA,"outuPARStepNAQM","Outgoing PAR below water surface quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent","real","NA"
"523",NA,"outuPARStepPassQM","Outgoing PAR below water surface quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent","real","NA"
"524",NA,"outuPARStepQAQCRpt","Outgoing PAR below water surface quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"525",NA,"outuPARValidCalibrationFailQM","Outgoing PAR below water surface quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent","percent","real","NA"
"526",NA,"outuPARValidCalibrationNAQM","Outgoing PAR below water surface quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent","percent","real","NA"
"527",NA,"outuPARValidCalibrationPassQM","Outgoing PAR below water surface quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent","percent","real","NA"
"528",NA,"outuPARValidCalibrationQAQCRpt","Outgoing PAR below water surface QAQC report for the valid calibration check, which indicates whether the measurements are within the valid calibration date range, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,could not be run))","NA","integer","NA"
"529",NA,"outuPARVariance","Variance in outgoing photosynthetically active radiation below water surface","micromolesPerSquareMeterPerSecondSquared","real","NA"
"530",NA,"overstoryHeight","Average height of the overstory vegetation in a plot, assessed by visual survey to guide LAI photo collection","meter","real",NA
"531",NA,"palmsAbsentList","List of subplots or nested subplots in which palm are not present","NA","string","NA"
"532",NA,"palmsPresent","Indicator of whether the plot contains palms of any size","NA","string","NA"
"533",NA,"pathogenName","Name of the pathogen tested for: ""hantaviruses"", ""arenaviruses""","NA","string",NA
"534",NA,"pathogenTestCount","Number of individuals in the pathogen testing vial","NA","unsigned integer",NA
"535",NA,"pathogenVialID","Identifier for the vial containing specimens for pathogen testing","NA","string",NA
"536",NA,"pathPoolVialID","unique ID assigned to each pathogen pool vial. Each of these contains a single pathogen testing pool (female mosquitoes of the same species associated with the same","NA","string",NA
"537",NA,"pavementCover","Cover of pavement","NA","string",NA
"538",NA,"pcrDate","Date or date and time of PCR reaction","NA","dateTime","NA"
"539",NA,"pcrPurificationStatus","Indicates whether DNA amplicons were purified prior to further processing","NA","string","NA"
"540",NA,"pcrSampleCondition","Condition of a PCR sample","NA","string","NA"
"541",NA,"percentFilterAnalyzed","Fraction of the filter sampled (%)","percent","real",NA
"542",NA,"percentNotCounted","The percent of the sample not directly counted. In the case of a large sample that requires subsampling, this is an indication of how much of the sample was counted to estimate community composition. For example, if the mosquitoes were divided into 5 equal piles and only one pile was counted to estimate total abundance and diversity, the percent not counted would be 80%. For smaller samples (e.g., <200 individuals), the entire sample is counted and the percent not counted would be 0%","percent","unsigned integer",NA
"543",NA,"periphytonSampleID","Identifier for the periphyton sample","NA","string",NA
"544",NA,"permanentMarkerBank","Stream bank on which the permanent marker is located","NA","string",NA
"545",NA,"permanentMarkerID","An identifier of the permanent marker","NA","string",NA
"546",NA,"pHMeasuredBy","An identifier for the technician who measured or collected the pH data","NA","string",NA
"547",NA,"photographedBy","An identifier for the technician who took the photograph","NA","string","NA"
"548",NA,"photoView","Standardized term to group images depicting a specific set of features of the organisms or related environment","NA","string","NA"
"549",NA,"pHQF","Quality flag for pH measurement","NA","signed integer",NA
"550",NA,"pHRemarks","Remarks from measurement of sample pH","NA","string",NA
"551",NA,"physicalSedimentSampleCode","Barcode for a sediment sample collected for analysis of physical properties","NA","string",NA
"552",NA,"physicalSedimentSampleFate","Fate of a sediment sample collected for analysis of physical properties","NA","string",NA
"553",NA,"physicalSedimentSampleID","Unique identifier for a sediment sample collected for analysis of physical properties","NA","string",NA
"554",NA,"physSedimentSampleBarcode","Barcode for a sediment sample collected for analysis of physical properties","NA","string","NA"
"555",NA,"phytoplanktonSampleID","Identifier for the phytoplankton sample","NA","string",NA
"556",NA,"plantAdjAshFreeDryMass","Combusted mass of the sample, multiplied to account for lab subsampling for the whole plant from which the epiphyton samples are scraped","gram","real",""
"557",NA,"plantAshMassBoatMass","Combusted mass of the sample and weigh boat for the whole plant from which the epiphyton samples are scraped","gram","real",""
"558",NA,"plantBoatID","Identifier for the weigh boat for the whole plant from which the epiphyton samples are scraped","NA","string",""
"559",NA,"plantBoatMass","Mass of the weigh boat for the whole plant from which the epiphyton samples are scraped","gram","real",""
"560",NA,"plantDryMassBoatMass","Oven-dried mass of the sample and weigh boat for the whole plant from which the epiphyton samples are scraped","gram","real",""
"561",NA,"plantSampleCode","Barcode of a plant sample","NA","string",NA
"562",NA,"plantSampleFate","Fate of a plant sample","NA","string",NA
"563",NA,"plotBoutSampleID","Vial identifier for vial of specimens pooled at the plot-bout scale","NA","string",NA
"564",NA,"plotDimensions","Dimension of plot or grid in meters","NA","string",NA
"565",NA,"plotHdop","Horizontal dilution of precision","dimensionless","real",NA
"566",NA,"plotPdop","Positional dilution of precision","dimensionless","real",NA
"567",NA,"pointNumber","Number of the point sampled for a given location","number","integer",NA
"568",NA,"pointSampleCount","Number of point samples collected for a given location","NA","integer",NA
"569",NA,"pollenPresence","Presence of pollen as film, foam, or deposit","NA","string",NA
"570",NA,"pooledVialID","unique ID assigned to vial(s) containing mosquitoes of the same species and sex collected during the same site/bout combination (including year)","NA","string",NA
"571",NA,"poolSampleCode","Barcode of a pooled sample","NA","string",NA
"572",NA,"poolSampleFate","Fate of a pooled sample","NA","string",NA
"573",NA,"poolSampleID","Identifier for a pooled sample","NA","string",NA
"574",NA,"poorConditionSpecimen","Specimen is damaged sufficient that the target level of identification cannot be achieved","NA","string",NA
"575",NA,"practicalQuantitationLimit","Practical Quantitation Limit.  Synonymous with the EPA term: minimum level","NA","real",NA
"576",NA,"previouslyTaggedAs","Indicates the tagID previously reported for a given individual","NA","string","NA"
"577",NA,"prLocalityStatusSource","The reference to the source describing whether the taxon is established in Puerto Rico, USA","NA","string",NA
"578",NA,"prNativeStatusCode","The process by which the taxon became established in Puerto Rico, USA","NA","string",NA
"579",NA,"prNativeStatusSource","The reference to the source describing the process by which the taxon became established in Puerto Rico, USA","NA","string",NA
"580",NA,"processedDatePOMIsotopes","Date or date and time of processing event of Particulate Organic Matter isotope samples","NA","dateTime",NA
"581",NA,"projectID","Unique identifier for the project associated with data returned from an external laboratory","NA","string",NA
"582",NA,"protocolStep","text indicating the protocol step associated with sample collection, ""1st deployment"", ""1st collection, 2nd deployment"", ""2nd collection, 3rd deployment"", ""3rd collection""","NA","string",NA
"583",NA,"qaAccuracy","Long-term average accuracy, e.g. the absolute difference between observed and known values of quality assurance material, with units dependent on the analyte","NA","real",NA
"584",NA,"qaqcStatus","Status of internal QAQC","NA","string","NA"
"585",NA,"qaStandardDeviation","Long-term average standard deviation values for quality analysis material, with units dependent on the analyte","NA","real",NA
"586",NA,"qaType","Type of quality assurance used in analysis","NA","string",NA
"587",NA,"qcReferenceID","Name of the reference material or standard used to monitor quality control for a given analyte","NA","string",NA
"588",NA,"rareTaxon","Taxon is large with respect to other taxa in the sample, or rare within the sample, so was not subsampled according to the subsamplePercent","NA","string",NA
"589",NA,"rawAdultCount","Bench count of adults of the given taxon in the given size class, not corrected for subsample percent","NA","real",NA
"590",NA,"rawAshFreeDryMass","Combusted mass of the subsample","gram","real",NA
"591",NA,"rawEquilibratedCH4","Concentration of CH4 in water equilibrated sample from external lab","partsPerMillionVolumetric","real","NA"
"592",NA,"rawEquilibratedCO2","Concentration of CO2 in water equilibrated sample from external lab","partsPerMillionVolumetric","real","NA"
"593",NA,"rawEquilibratedN2O","Concentration of N2O in water equilibrated sample from external lab","partsPerMillionVolumetric","real","NA"
"594",NA,"rawLarvaCount","Bench count of larvae of the given taxon in the given size class, not corrected for subsample percent","NA","real",NA
"595",NA,"rawPupaCount","Bench count of pupae of the given taxon in the given size class, not corrected for subsample percent","NA","real",NA
"596",NA,"rawTotalCount","Unadjusted bench count of total individuals of given taxon, life stage, and size class","NA","unsigned integer",NA
"597",NA,"reaerationGasType","Type of inert gas used in reaeration injection","NA","string",NA
"598",NA,"receivedCondition","Condition of the sample on the date it was received","NA","string",NA
"599",NA,"receiverID","Name of the facility that will receive the sample","NA","string",NA
"600",NA,"recordedDate","The date spatial information was recorded in the field","NA","dateTime",NA
"601",NA,"referenceAirLocationID","Identifier for location where reference air sample was collected","NA","string",""
"602",NA,"referenceAirSampleCode","Barcode for sample of reference air","NA","string",NA
"603",NA,"referenceAirSampleFate","Fate of a sample of reference air","NA","string",NA
"604",NA,"referenceSampleID","Identifier for the reference (or control) sample","NA","string",NA
"605",NA,"rep1CopyNumber","Gene copy number in a sample replicate 1 in copies per nanogram of DNA","numberPerNanogram","real",""
"606",NA,"rep1CqValue","Quantification cycle or threshold number in sample replicate 1","NA","integer",""
"607",NA,"rep2CopyNumber","Gene copy number in a sample replicate 2 in copies per nanogram of DNA","numberPerNanogram","real",""
"608",NA,"rep2CqValue","Quantification cycle or threshold number in sample replicate 2","NA","integer",""
"609",NA,"rep3CopyNumber","Gene copy number in a sample replicate 3 in copies per nanogram of DNA","numberPerNanogram","real",""
"610",NA,"rep3CqValue","Quantification cycle or threshold number in sample replicate 3","NA","integer",""
"611",NA,"rep4CopyNumber","Gene copy number in a sample replicate 4 in copies per nanogram of DNA","numberPerNanogram","real",""
"612",NA,"rep4CqValue","Quantification cycle or threshold number in sample replicate 4","NA","integer",""
"613",NA,"rep5CopyNumber","Gene copy number in a sample replicate 5 in copies per nanogram of DNA","numberPerNanogram","real",""
"614",NA,"rep5CqValue","Quantification cycle or threshold number in sample replicate 5","NA","integer",""
"615",NA,"replicate","Sample replicate","NA","string",NA
"616",NA,"replicateNumber","The number for the sample replicate","NA","integer",NA
"617",NA,"reversePrimer","DNA sequence of reverse primer","NA","string","NA"
"618",NA,"reviewedBy","Name of lab personnel who reviewed the data prior to submission","NA","string",NA
"619",NA,"roadsCover","Cover of roads","NA","string",NA
"620",NA,"runDetectionLimit","Detection limit of the sample run","NA","string",NA
"621",NA,"runID","A linking value provided by the external lab that associates the sample data to the run metadata, including QA values","NA","string",NA
"622",NA,"saltBackgroundSampleCode","Barcode of the reaeration background salt sample","NA","string",NA
"623",NA,"saltBackgroundSampleFate","Fate of the reaeration background salt sample","NA","string",NA
"624",NA,"saltBackgroundSampleID","Unique identifier for the reaeration background salt sample","NA","string",NA
"625",NA,"saltSampleID","Unique identifier for reaeration salt sample","NA","string",NA
"626",NA,"saltSamplID","Unique identifier for the salt sample ","NA","string",NA
"627",NA,"saltTracerMass","Mass of salt tracer added to carboy","gram","real",NA
"628",NA,"saltTracerSampleCode","Barcode for the salt sample","NA","string",NA
"629",NA,"saltTracerSampleFate","Fate for the salt sample","NA","string",NA
"630",NA,"saltTracerSampleID","Unique identifier for the salt sample","NA","string",NA
"631",NA,"saltTracerType","Type of salt used as tracer","NA","string",NA
"632",NA,"sampleDate","Date returned by an external lab for sample collection","NA","dateTime",NA
"633",NA,"sampleEasting","Easting value of sampled location","meter","real","NA"
"634",NA,"sampleExtent","Extent of the soil sample relative to the local soil horizon conditions","NA","string",""
"635",NA,"sampleFilteredReadNumber","Number of sequence reads that pass quality filtering","number","unsigned integer",""
"636",NA,"sampleMass","Mass of sample","gram","real","NA"
"637",NA,"sampleMaterial","The material in which a sample was embedded prior to the sampling event","NA","string","NA"
"638",NA,"sampleNorthing","Northing value of sampled location","meter","real","NA"
"639",NA,"samplePercent","Percent of sample processed","percent","real","NA"
"640",NA,"samplePhase","type of mosquito sampling being conducted. Can be either ""field season"" or ""off season""","NA","string",NA
"641",NA,"sampleProcess","The type of analysis performed by an external lab on the NEON sample (categories: taxonomic, chemical, stable isotopes, museum services, genetic, pathogen)","NA","string",NA
"642",NA,"sampleReceivedDate","when the facility received the samples sent from a NEON domain lab. Use the YYYYMMDD format","NA","dateTime",NA
"643",NA,"sampleStatus","status of sample for downstream processing and/or analysis","NA","string",NA
"644",NA,"sampleStorageInformation","Condition and location of samples","NA","string",NA
"645",NA,"sampleTotalReadNumber","Total number of sequence reads in a sample","number","unsigned integer",""
"646",NA,"sampleVolumeFilteredRep2","Volume of water filtered through replicate 2 filter for external analysis","milliliter","real",NA
"647",NA,"samplingMethod","Name or code for the method used to collect or test a sample","NA","string",NA
"648",NA,"samplingProtocolEndDate","Date that the external facility stopped using the version of the protocol used to test a sample. Also includes a link to the file containing a copy of the protocol","NA","dateTime",NA
"649",NA,"samplingProtocolStartDate","Date that the external facility started using the version of the protocol used to test a sample. Also includes a link to the file containing a copy of the protocol","NA","dateTime",NA
"650",NA,"samplingSeason","Season or period in which sampling occurs","NA","string",NA
"651",NA,"sandPercent","Percent sand in a soil or sediment sample","percent","real","NA"
"652",NA,"scanDate","The date and time a sample is scanned","NA","dateTime","NA"
"653",NA,"scannedLeafNumber","Number of leaves or needles scanned","number","integer","NA"
"654",NA,"sdgAirDataQF","Data quality flag for dissolved gas reference air collection","NA","string","NA"
"655",NA,"sdgExternalLabDataQF","Data quality flag for dissolved gas external laboratory data","NA","string","NA"
"656",NA,"sdgFieldDataQF","Data quality flag for dissolved gas field data","NA","string","NA"
"657",NA,"sdgProcessDataQF","Data quality flag for dissolved gas field processing","NA","string","NA"
"658",NA,"sedimentSampleBarcode","Barcode for a sediment sample","NA","string","NA"
"659",NA,"sedimentSampleFate","Fate of a sediment sample","NA","string","NA"
"660",NA,"sedimentSampleID","Unique identifier for a sediment sample","NA","string","NA"
"661",NA,"seedDryMass","Dry mass of seeds","gram","real",NA
"662",NA,"sensorFlowRateQAQCRpt","Quality assurance and quality control report for the sensor flow rate test, which indicates whether the sensor flow rate is within threshold limits, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","real",NA
"663",NA,"sentDate","Date sample was shipped","NA","dateTime",NA
"664",NA,"sentTo","Name of person or institution to which shipment was sent following identifications or analyses","NA","string",NA
"665",NA,"sequencedBy","An identifier for the individual who sequenced the sample(s)","NA","string","NA"
"666",NA,"sequencerRunID","Identifier for the sequencing run","NA","string","NA"
"667",NA,"sequencingConcentration","Concentration of nucleic acid used for sequencing","nanogramsPerMicroliter","real","NA"
"668",NA,"sequencingDate","Date or date and time when sequencing reaction begins","NA","dateTime","NA"
"669",NA,"sequencingFacilityID","Name of the laboratory or facility that is sequencing samples","NA","string","NA"
"670",NA,"sequencingPlatform","The brand identifier of the sequencing instrument","NA","string",""
"671",NA,"sequencingPlatformModel","The brand and model identifier of the sequencing instrument","NA","string","NA"
"672",NA,"sequencingProtocol","The protocol used to sequence DNA from a sample","NA","string","NA"
"673",NA,"sequencingRemarks","Technician notes; free text comments regarding sequencing accompanying the record","NA","string","NA"
"674",NA,"sequencingSampleCondition","Condition of a sequencing sample","NA","string","NA"
"675",NA,"serialNumber","ITIS serial number","NA","string",NA
"676",NA,"sestonSampleID","Identifier for the seston sample","NA","string",NA
"677",NA,"shape","Description of three dimensional form","NA","string","NA"
"678",NA,"SHFCalHeaterQAQCRpt","Quality assurance and quality control report for the calibration heater flag, which indicates whether the heater was operational to perform a self-calibration as described in the sensor specific algorithm theoretical basis document (ATBD) (1=on, 0=off, -1=NA (i.e, couldn't be run))","NA","string",NA
"679",NA,"SHFCalPeriodFailQM","Quality metric that summarizes when the self-calibration performed over the averaging period, as a percent","percent","real",NA
"680",NA,"SHFCalPeriodNAQM","Quality metric that summarizes when the self-calibration was unknown over the averaging period, as a percent","percent","real",NA
"681",NA,"SHFCalPeriodPassQM","Quality metric that summarizes when the self-calibration not performed over the averaging period, as a percent","percent","real",NA
"682",NA,"SHFCalPeriodQAQCRpt","Quality assurance and quality control report for the calibration period flag, which indicates whether the self-calibration was performed as described in the sensor specific algorithm theoretical basis document (ATBD) (1=a self-calibration was performed, 0=a self-calibration was not performed, -1=NA (i.e, couldn't be run))","NA","string",NA
"683",NA,"SHFInSituCorQAQCRpt","Quality assurance and quality control report for the in situ correction flag, which indicates whether an error occur during the self-calibration process as described in the sensor specific algorithm theoretical basis document (ATBD) (1=error is detected, 0=no error, -1=NA (i.e, couldn't be run))","NA","string",NA
"684",NA,"shipmentDamaged","Indicator of whether the shipment was received in damaged condition","NA","string",NA
"685",NA,"shortHerbCover","Vegetation cover for short herbs, grasses and forbs","NA","string",NA
"686",NA,"shrubGroupID","Unique identifier for a shrub group within a subplot (NEON subplotID_XX)","NA","string",NA
"687",NA,"shrubsAbsentList","List of subplots or nested subplots in which shrubs, saplings and small trees are not present","NA","string","NA"
"688",NA,"shrubShape","code describing the shape of a measured shrub","NA","string",NA
"689",NA,"shrubsPresent","Indicator of whether the plot contains shrubs, saplings, or small trees","NA","string","NA"
"690",NA,"siltPercent","Percent silt in a soil or sediment sample","percent","real","NA"
"691",NA,"siteName","Name of NEON site","NA","string",NA
"692",NA,"slrmQF","Quality flag for secondary reference material","NA","signed integer",NA
"693",NA,"smallTreeCover","Vegetation cover for trees less than 0.3 m diameter at breast height (DBH)","NA","string",NA
"694",NA,"smMeasuredBy","An identifier for the technician who measured or collected the soil moisture data","NA","string",NA
"695",NA,"smQF","Quality flag for soil moisture measurement","NA","signed integer",NA
"696",NA,"smRemarks","Remarks from measurement of sample gravimetric soil moisture","NA","string",NA
"697",NA,"soilCoordinateX1","x location of the soil sample, relative to the SW corner","meter","real",NA
"698",NA,"soilCoordinateX2","x location of the soil sample, relative to the SW corner","meter","real",NA
"699",NA,"soilCoordinateX3","x location of the soil sample, relative to the SW corner","meter","real",NA
"700",NA,"soilCoordinateX4","x location of the soil sample, relative to the SW corner","meter","real",NA
"701",NA,"soilCoordinateY1","y location of the soil sample, relative to the SW corner","meter","real",NA
"702",NA,"soilCoordinateY2","y location of the soil sample, relative to the SW corner","meter","real",NA
"703",NA,"soilCoordinateY3","y location of the soil sample, relative to the SW corner","meter","real",NA
"704",NA,"soilCoordinateY4","y location of the soil sample, relative to the SW corner","meter","real",NA
"705",NA,"soilDryMass","Dry mass of soil sample","gram","real",NA
"706",NA,"soilFreshMass","Total fresh mass of soil","gram","real","NA"
"707",NA,"soilMass","Amount of soil processed","gram","real","NA"
"708",NA,"soilMoisture","Gravimetric water content of soil in grams of water per gram dry soil","gramsPerGram","real",NA
"709",NA,"soilSamplingMethod","The methodology used for collecting soil at a plot (pit or core)","NA","string",NA
"710",NA,"soilTypeOrder","National Cooperative Soil Survey Geographic Database (SSURGO) classification","NA","string",NA
"711",NA,"spDepthWaterTemp","Temperature of surface water at specific depths in lakes and rivers","celsius","real",NA
"712",NA,"spDepthWaterTempExpUncert","Expanded uncertainty for temperature at specific depths in lakes and rivers","celsius","real",NA
"713",NA,"specificConductanceRep1","Conductivity auto-corrected to 25 degrees C measurement replicate 1","microsiemensPerCentimeter","real",NA
"714",NA,"specificConductanceRep2","Conductivity auto-corrected to 25 degrees C measurement replicate 2","microsiemensPerCentimeter","real",NA
"715",NA,"specificConductanceRep3","Conductivity auto-corrected to 25 degrees C measurement replicate 3","microsiemensPerCentimeter","real",NA
"716",NA,"specificConductanceRep4","Conductivity auto-corrected to 25 degrees C measurement replicate 4","microsiemensPerCentimeter","real",NA
"717",NA,"specificConductanceRep5","Conductivity auto-corrected to 25 degrees C measurement replicate 5","microsiemensPerCentimeter","real",NA
"718",NA,"stabilityQF","Stability quality flag indicating whether or not the strain gauges were stable for a measurement period, (0 = stable, 1 = unstable, -1 = NA (i.e., couldn't be run))","NA","signed integer",NA
"719",NA,"standingWaterCover","Cover of standing water","NA","string",NA
"720",NA,"standingWaterDepth","Depth of standing water present at a sampling location","centimeter","real",""
"721",NA,"startDayOfYear","The earliest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366)","nominalDay","unsigned integer",NA
"722",NA,"startTime","Time at which a sampling SOP (or SOPs) is/are initiated","NA","dateTime",NA
"723",NA,"stateProvince","State or province where data was collected","NA","string",NA
"724",NA,"stationToInjectionDistance","Stream distance between the station and the injection location","meter","real",NA
"725",NA,"stemAzimuth","Azimuth relative to True North between stem and pointID location","degree","real",NA
"726",NA,"stemCount","Count of stems","number","real","NA"
"727",NA,"stemDistance","Horizontal distance from stem to pointID location","meter","real",NA
"728",NA,"stemID","identifier for each measured stem of indivdiual with multiple qualifying stems","NA","string",NA
"729",NA,"stemStatus","code for stem condition","NA","unsigned integer",NA
"730",NA,"storageContainerID","Identifier of the container in which a sample is stored","NA","string",NA
"731",NA,"storedDate","Date a sample was placed into storage","NA","dateTime",NA
"732",NA,"subplotAreaDuplicateRecordQF","Quality Flag for duplicate nestedSubplotArea record","NA","signed integer","NA"
"733",NA,"subsample","Is this a subsample or not","NA","string",NA
"734",NA,"subsample1Height","Vertical distance from ground to height of first canopy subsample","meter","real",""
"735",NA,"subsample2Height","Vertical distance from ground to height of second canopy subsample","meter","real",""
"736",NA,"subsample3Height","Vertical distance from ground to height of third canopy subsample","meter","real",""
"737",NA,"subsampleCode","Barcode of a subsample","NA","string","NA"
"738",NA,"subsampleDryMass","Total dry mass of a subsample","gram","real","NA"
"739",NA,"subsampleFate","Fate of a subsample","NA","string","NA"
"740",NA,"subsampleFractionType","Type of subsample analyzed","NA","string",NA
"741",NA,"subsampleFreshMass","Total fresh mass of a subsample","gram","real","NA"
"742",NA,"subsampleIDList","List of subsampleIDs","NA","string",""
"743",NA,"subsampleVialID","Vial identifier for the subsample","NA","string",NA
"744",NA,"subsampleVolume","Volume of subsample analyzed","liter","real",NA
"745",NA,"substrate","Organic or inorganic surface material at the location","NA","string",NA
"746",NA,"subtype","Type of plot or grid associated with a plot type: basePlot, mammalGrid, birdGrid, tickPlot, mosquitoPoint, phenology","NA","string",NA
"747",NA,"subtypeSpecification","Type of plot or grid; mammal: diversity, pathogen, training; bird: ninePoints, onePoint; phenology: primary, phenocam","NA","string",NA
"748",NA,"supportingStemBarcode","Barcode for a tagged individual on which a liana is growing","NA","string",""
"749",NA,"supportingStemID","Unique identifier for an individual which is supporting a liana within a site, number on tag attached to individuals to facilitate remeasurement","NA","unsigned integer",NA
"750",NA,"supportingStemIndividualID","Globally unique identifier for stem on which a liana is growing","NA","string","NA"
"751",NA,"supportingStemTagID","Unique tagID for stem on which a liana is growing","NA","string",NA
"752",NA,"surfaceWaterType","Type of surface water sample collected","NA","string",NA
"753",NA,"swcSamplingProtocolVersion","The NEON document number and version of the water chemistry protocol where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","NA","string","NA"
"754",NA,"synonymyEndUseDate","Latest date at which the taxonID was mapped to the corresponding acceptedTaxonID","NA","string",NA
"755",NA,"synonymyStartUseDate","Earliest date at which the taxonID was mapped to the corresponding acceptedTaxonID","NA","string",NA
"756",NA,"syringeCode","Barcode for the sample syringe","NA","string",NA
"757",NA,"syringeFate","Fate for the sample syringe","NA","string",NA
"758",NA,"syringeID","Identifier for the sample syringe","NA","string",NA
"759",NA,"tagBarcode","Barcode for a field sample","NA","string","NA"
"760",NA,"tagCode","Code of domain-level unique identifier used to mark the individual","NA","string","NA"
"761",NA,"tagFate","Fate of domain-level unique identifier used to mark the individual","NA","string","NA"
"762",NA,"tagStatus","Description of state or condition of the physical tag","NA","string","NA"
"763",NA,"tallHerbCover","Vegetation cover for tall herbs, grasses and forbes","NA","string",NA
"764",NA,"targetGene","Targeted gene or locus name","NA","string","NA"
"765",NA,"targetSubfragment","Name of subfragment of a gene or locus","NA","string","NA"
"766",NA,"targetTaxonGroup","Taxonomic group targeted","NA","string",""
"767",NA,"targetVariablesPresent","Indicator of whether the sample contained target variables","NA","string",NA
"768",NA,"taxonProtocolCategory","A categorical grouping relevant to taxon-specific sampling protocols","NA","string",NA
"769",NA,"technicalRepNumber","Number of the technical replicate","number","integer",NA
"770",NA,"temporaryID","Temporary identifier for sample","NA","string",NA
"771",NA,"testingVialIDCode","Barcode of the vial containing specimens for testing (e.g., pathogen testing, chemical analysis, etc.)","NA","string","NA"
"772",NA,"testingVialIDFate","Fate of the vial containing specimens for testing (e.g., pathogen testing, chemical analysis, etc.)","NA","string","NA"
"773",NA,"textureClassification","Soil or sediment texture classification","NA","string","NA"
"774",NA,"titrationDataString","x,y pairs of pH and Counter Reading on digital titrator concatenated into a string","NA","string",""
"775",NA,"toCompositeSampleCode","Barcode of sample that will be part of a composite sample","NA","string",NA
"776",NA,"toCompositeSampleFate","Fate of sample that will be part of a composite sample","NA","string",NA
"777",NA,"toCompositeSampleID","Identifier for sample that will be part of a composite sample","NA","string",NA
"778",NA,"totalAreaSampledLiana","Total plot area sampled for lianas","metersSquared","unsigned integer","NA"
"779",NA,"totalAreaSampledOther","Total plot area sampled for qualifying non-woody growthForms","NA","unsigned integer","NA"
"780",NA,"totalAreaSampledShrubSapling","Total plot area sampled for shrubs, saplings and small trees","metersSquared","unsigned integer","NA"
"781",NA,"totalAreaSampledTrees","Total plot area sampled for single bole and mult-bole trees","metersSquared","unsigned integer","NA"
"782",NA,"totalSampledAreaLiana","Total plot area sampled for liana","squareMeter","real",""
"783",NA,"totalSampledAreaOther","Total plot area sampled for qualifying non-woody growth forms","squareMeter","real",""
