"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"1272",365,"windSpeedNullFailQM","Wind speed quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1273",366,"windSpeedNullPassQM","Wind speed quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1274",367,"windSpeedNullNAQM","Wind speed quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent","real",NA
"1275",368,"windSpeedGapFailQM","Wind speed quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1276",369,"windSpeedGapPassQM","Wind speed quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1277",370,"windSpeedGapNAQM","Wind speed quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent","real",NA
"1278",371,"windSpeedSpikeFailQM","Wind speed quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1279",372,"windSpeedSpikePassQM","Wind speed quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1280",373,"windSpeedSpikeNAQM","Wind speed quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real",NA
"1281",374,"windSpeedConsistencyFailQM","Wind speed quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1282",375,"windSpeedConsistencyPassQM","Wind speed quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1283",376,"windSpeedConsistencyNAQM","Wind speed quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","percent","real",NA
"1284",377,"windSpeedAlphaQM","Wind speed quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1285",378,"windSpeedBetaQM","Wind speed quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1286",379,"windSpeedFinalQF","Wind speed quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","NA","unsigned integer",NA
"1287",380,"windDirMean","Arithmetic mean of wind direction","degree","real",NA
"1288",383,"windDirVariance","Variance in wind direction","degreesSquared","real",NA
"1289",384,"windDirNumPts","Number of points used to calculate the arithmetic mean of wind direction","number","real",NA
"1290",385,"windDirExpUncert","Expanded uncertainty for wind direction","degree","real",NA
"1291",386,"windDirStdErMean","Standard error of the mean for wind direction","degree","real",NA
"1292",387,"windDirRangeQAQCRpt","Wind direction quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1293",388,"windDirPersistenceQAQCRpt","Wind direction quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1294",389,"windDirStepQAQCRpt","Wind direction quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1295",390,"windDirNullQAQCRpt","Wind direction quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1296",391,"windDirGapQAQCRpt","Wind direction quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","NA","string",NA
"1297",392,"windDirConsistencyQAQCRpt","Wind direction quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1298",393,"windDirSpikeQAQCRpt","Wind direction quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1299",394,"windDirAlphaQAQCRpt","Wind direction quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1300",395,"windDirBetaQAQCRpt","Wind direction quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1301",396,"windDirRangeFailQM","Wind direction quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1302",397,"windDirRangePassQM","Wind direction quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1303",398,"windDirRangeNAQM","Wind direction quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent","real",NA
"1304",399,"windDirPersistenceFailQM","Wind direction quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1305",400,"windDirPersistencePassQM","Wind direction quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1306",401,"windDirPersistenceNAQM","Wind direction quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent","real",NA
"1307",402,"windDirStepFailQM","Wind direction quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1308",403,"windDirStepPassQM","Wind direction quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1309",404,"windDirStepNAQM","Wind direction quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent","real",NA
"1310",405,"windDirNullFailQM","Wind direction quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1311",406,"windDirNullPassQM","Wind direction quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1312",407,"windDirNullNAQM","Wind direction quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent","real",NA
"1313",408,"windDirGapFailQM","Wind direction quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1314",409,"windDirGapPassQM","Wind direction quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1315",410,"windDirGapNAQM","Wind direction quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent","real",NA
"1316",411,"windDirSpikeFailQM","Wind direction quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1317",412,"windDirSpikePassQM","Wind direction quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1318",413,"windDirSpikeNAQM","Wind direction quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real",NA
"1319",414,"windDirConsistencyFailQM","Wind direction quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1320",415,"windDirConsistencyPassQM","Wind direction quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1321",416,"windDirConsistencyNAQM","Wind direction quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","percent","real",NA
"1322",417,"windDirAlphaQM","Wind direction quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1323",418,"windDirBetaQM","Wind direction quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1324",419,"windDirFinalQF","Wind direction quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","NA","unsigned integer",NA
"1325",451,"staPresMean","Arithmetic mean of station pressure","kilopascal","real",NA
"1326",452,"staPresMinimum","Minimum station pressure","kilopascal","real",NA
"1327",453,"staPresMaximum","Maximum station pressure","kilopascal","real",NA
"1328",454,"staPresVariance","Variance in station pressure","kilopascalsSquared","real",NA
"1329",455,"staPresNumPts","Number of points used to calculate the arithmetic mean of station pressure","number","real",NA
"1330",456,"staPresExpUncert","Expanded uncertainty for station pressure","kilopascal","real",NA
"1331",457,"staPresStdErMean","Standard error of the mean for station pressure","kilopascal","real",NA
"1332",458,"staPresRangeQAQCRpt","Station pressure quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1333",459,"staPresPersistenceQAQCRpt","Station pressure quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1334",460,"staPresStepQAQCRpt","Station pressure quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1335",461,"staPresNullQAQCRpt","Station pressure quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1336",462,"staPresGapQAQCRpt","Station pressure quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","NA","string",NA
"1337",463,"staPresConsistencyQAQCRpt","Station pressure quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1338",464,"staPresSpikeQAQCRpt","Station pressure quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1339",465,"staPresAlphaQAQCRpt","Station pressure quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1340",466,"staPresBetaQAQCRpt","Station pressure quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1341",467,"staPresRangeFailQM","Station pressure quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1342",468,"staPresRangePassQM","Station pressure quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1343",469,"staPresRangeNAQM","Station pressure quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent","real",NA
"1344",470,"staPresPersistenceFailQM","Station pressure quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1345",471,"staPresPersistencePassQM","Station pressure quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1346",472,"staPresPersistenceNAQM","Station pressure quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent","real",NA
"1347",473,"staPresStepFailQM","Station pressure quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1348",474,"staPresStepPassQM","Station pressure quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1349",475,"staPresStepNAQM","Station pressure quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent","real",NA
"1350",476,"staPresNullFailQM","Station pressure quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1351",477,"staPresNullPassQM","Station pressure quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1352",478,"staPresNullNAQM","Station pressure quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent","real",NA
"1353",479,"staPresGapFailQM","Station pressure quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1354",480,"staPresGapPassQM","Station pressure quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1355",481,"staPresGapNAQM","Station pressure quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent","real",NA
"1356",482,"staPresSpikeFailQM","Station pressure quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1357",483,"staPresSpikePassQM","Station pressure quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1358",484,"staPresSpikeNAQM","Station pressure quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real",NA
"1359",485,"staPresConsistencyFailQM","Station pressure quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1360",486,"staPresConsistencyPassQM","Station pressure quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1361",487,"staPresConsistencyNAQM","Station pressure quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","percent","real",NA
"1362",488,"staPresAlphaQM","Station pressure quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1363",489,"staPresBetaQM","Station pressure quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1364",490,"staPresFinalQF","Station pressure quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","NA","unsigned integer",NA
"1365",491,"corPres","Mean station pressure corrected to sea level","kilopascal","real",NA
"1366",492,"corPresMinimum","Minimum pressure corrected to sea level","kilopascal","real",NA
"1367",493,"corPresMaximum","Maximum pressure corrected to sea level","kilopascal","real",NA
"1368",494,"corPresVariance","Variance in pressure corrected to sea level","kilopascalsSquared","real",NA
"1369",495,"corPresNumPts","Number of points used to calculate the arithmetic mean of pressure corrected to sea level","number","real",NA
"1370",496,"corPresExpUncert","Expanded uncertainty for pressure corrected to sea level","kilopascal","real",NA
"1371",497,"corPresStdErMean","Standard error of the mean for pressure corrected to sea level","kilopascal","real",NA
"1372",498,"corPresRangeQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1373",499,"corPresPersistenceQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1374",500,"corPresStepQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1375",501,"corPresNullQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1376",502,"corPresGapQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","NA","string",NA
"1377",503,"corPresConsistencyQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1378",504,"corPresSpikeQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1379",505,"corPresAlphaQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1380",506,"corPresBetaQAQCRpt","Pressure corrected to sea level quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1381",507,"corPresRangeFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1382",508,"corPresRangePassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1383",509,"corPresRangeNAQM","Pressure corrected to sea level quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent","real",NA
"1384",510,"corPresPersistenceFailQM","Pressure corrected to sea level quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1385",511,"corPresPersistencePassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1386",512,"corPresPersistenceNAQM","Pressure corrected to sea level quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent","real",NA
"1387",513,"corPresStepFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1388",514,"corPresStepPassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1389",515,"corPresStepNAQM","Pressure corrected to sea level quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent","real",NA
"1390",516,"corPresNullFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1391",517,"corPresNullPassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1392",518,"corPresNullNAQM","Pressure corrected to sea level quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent","real",NA
"1393",519,"corPresGapFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1394",520,"corPresGapPassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1395",521,"corPresGapNAQM","Pressure corrected to sea level quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent","real",NA
"1396",522,"corPresSpikeFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1397",523,"corPresSpikePassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1398",524,"corPresSpikeNAQM","Pressure corrected to sea level quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real",NA
"1399",525,"corPresConsistencyFailQM","Pressure corrected to sea level quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1400",526,"corPresConsistencyPassQM","Pressure corrected to sea level quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1401",527,"corPresConsistencyNAQM","Pressure corrected to sea level quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","percent","real",NA
"1402",528,"corPresAlphaQM","Pressure corrected to sea level quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1403",529,"corPresBetaQM","Pressure corrected to sea level quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1404",530,"corPresFinalQF","Pressure corrected to sea level quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.000653 and NEON.DOC.001113 (1=fail, 0=pass)","NA","unsigned integer",NA
"1405",531,"difRadMean","Arithmetic mean of diffuse radiation","wattsPerSquareMeter","real",NA
"1406",532,"difRadMinimum","Minimum diffuse radiation","wattsPerSquareMeter","real",NA
"1407",533,"difRadMaximum","Maximum diffuse radiation","wattsPerSquareMeter","real",NA
"1408",534,"difRadVariance","Variance in diffuse radiation","wattsPerSquareMeterSquared","real",NA
"1409",535,"difRadNumPts","Number of points used to calculate the arithmetic mean of diffuse radiation","number","real",NA
"1410",536,"difRadExpUncert","Expanded uncertainty for diffuse radiation","wattsPerSquareMeter","real",NA
"1411",537,"difRadStdErMean","Standard error of the mean for diffuse radiation","wattsPerSquareMeter","real",NA
"1412",538,"difRadRangeQAQCRpt","Diffuse radiation quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1413",539,"difRadPersistenceQAQCRpt","Diffuse radiation quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1414",540,"difRadStepQAQCRpt","Diffuse radiation quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1415",541,"difRadNullQAQCRpt","Diffuse radiation quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1416",542,"difRadGapQAQCRpt","Diffuse radiation quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","NA","string",NA
"1417",543,"difRadConsistencyQAQCRpt","Diffuse radiation quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1418",544,"difRadSpikeQAQCRpt","Diffuse radiation quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1419",545,"difRadAlphaQAQCRpt","Diffuse radiation quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1420",546,"difRadBetaQAQCRpt","Diffuse radiation quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1421",547,"difRadRangeFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1422",548,"difRadRangePassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","percent","real",NA
"1423",549,"difRadRangeNAQM","Diffuse radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent","percent","real",NA
"1424",550,"difRadPersistenceFailQM","Diffuse radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1425",551,"difRadPersistencePassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","percent","real",NA
"1426",552,"difRadPersistenceNAQM","Diffuse radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","percent","real",NA
"1427",553,"difRadStepFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1428",554,"difRadStepPassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","percent","real",NA
"1429",555,"difRadStepNAQM","Diffuse radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent","percent","real",NA
"1430",556,"difRadNullFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1431",557,"difRadNullPassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","percent","real",NA
"1432",558,"difRadNullNAQM","Diffuse radiation quality metric that summarizes when the null test could not be run over the averaging period, as a percent","percent","real",NA
"1433",559,"difRadGapFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1434",560,"difRadGapPassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","percent","real",NA
"1435",561,"difRadGapNAQM","Diffuse radiation quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","percent","real",NA
"1436",562,"difRadSpikeFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1437",563,"difRadSpikePassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","percent","real",NA
"1438",564,"difRadSpikeNAQM","Diffuse radiation quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","percent","real",NA
"1439",565,"difRadConsistencyFailQM","Diffuse radiation quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1440",566,"difRadConsistencyPassQM","Diffuse radiation quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","percent","real",NA
"1441",567,"difRadConsistencyNAQM","Diffuse radiation quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","percent","real",NA
"1442",568,"difRadAlphaQM","Diffuse radiation quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1443",569,"difRadBetaQM","Diffuse radiation quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","percent","real",NA
"1444",570,"difRadFinalQF","Diffuse radiation quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","NA","unsigned integer",NA
"1445",571,"dirRadMean","Arithmetic mean of direct radiation","wattsPerSquareMeter","real",NA
"1446",572,"dirRadMinimum","Minimum direct radiation","wattsPerSquareMeter","real",NA
"1447",573,"dirRadMaximum","Maximum direct radiation","wattsPerSquareMeter","real",NA
"1448",574,"dirRadVariance","Variance in direct radiation","wattsPerSquareMeterSquared","real",NA
"1449",575,"dirRadNumPts","Number of points used to calculate the arithmetic mean of direct radiation","number","real",NA
"1450",576,"dirRadExpUncert","Expanded uncertainty for direct radiation","wattsPerSquareMeter","real",NA
"1451",577,"dirRadStdErMean","Standard error of the mean for direct radiation","wattsPerSquareMeter","real",NA
"1452",578,"dirRadRangeQAQCRpt","Direct radiation quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1453",579,"dirRadPersistenceQAQCRpt","Direct radiation quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1454",580,"dirRadStepQAQCRpt","Direct radiation quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1455",581,"dirRadNullQAQCRpt","Direct radiation quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1456",582,"dirRadGapQAQCRpt","Direct radiation quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","NA","string",NA
"1457",583,"dirRadConsistencyQAQCRpt","Direct radiation quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1458",584,"dirRadSpikeQAQCRpt","Direct radiation quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
"1459",585,"dirRadAlphaQAQCRpt","Direct radiation quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","string",NA
